File_Path,Link,Chunk
C:\Users\vivie\499-Thesis\CICS_Web_Raw_HTML\Ugrad_Overview_RAW.html,https://www.cics.umass.edu/content/undergraduate-students,
C:\Users\vivie\499-Thesis\CICS_Web_Raw_HTML\Ugrad_Research_RAW.html,https://www.cics.umass.edu/ugrad-education/research-opportunities,
C:\Users\vivie\499-Thesis\CICS_Web_Raw_HTML\Ugrad_Scholarships_RAW.html,https://www.cics.umass.edu/ugrad-education/scholarships-fellowships,
C:\Users\vivie\499-Thesis\CICS_Web_Raw_HTML\Undergrad_Advising_RAW.html,https://www.cics.umass.edu/content/undergraduate-advising-2022,
C:\Users\vivie\499-Thesis\CICS_Web_Raw_HTML\Undergrad_Degrees_RAW.html,https://www.cics.umass.edu/degrees,
C:\Users\vivie\499-Thesis\CICS_Web_Raw_HTML\Undergrad_FAQ_RAW.html,https://www.cics.umass.edu/ugrad-education/faq-bs-program,
C:\Users\vivie\499-Thesis\CICS_Web_Raw_HTML\Undergrad_New_Student_Info_RAW.html,https://www.cics.umass.edu/content/info-new-students,
C:\Users\vivie\499-Thesis\CICS_Web_Raw_HTML\Undergrad_Prep_For_Masters_RAW.html,https://www.cics.umass.edu/admissions/undergraduate-preparation,
C:\Users\vivie\499-Thesis\CICS_Web_Raw_HTML\Undergraduate_Admissions_RAW.html,https://www.cics.umass.edu/admissions/prospective-undergraduates,
C:\Users\vivie\499-Thesis\CICS_Web_Raw_HTML\Ventures_RAW.html,https://www.cics.umass.edu/ventures,
"C:\Users\vivie\499-Thesis\CICS_Web_Raw_HTML\Vision,Mission,Values_RAW.html",https://www.cics.umass.edu/vision-mission-values,
C:\Users\vivie\499-Thesis\CICS_Web_Raw_HTML\Visiting_CICS_RAW.html,https://www.cics.umass.edu/about/visiting-college,
C:\Users\vivie\499-Thesis\CICS_Web_Raw_HTML\Wireless_Access_RAW.html,https://www.cics.umass.edu/about/cspublic-information,
